"category,english,hindi_variant,kannada_variant"
"drugs,Zabimox-CV,ज़ाबिमॉक्स-सीवी,ಜಾಬಿಮಾಕ್ಸ್-ಸಿವಿ"
"drugs,Droxib,ड्रॉक्सिब,ಡ್ರಾಕ್ಸಿಬ್"
"drugs,Liscab,लिसकैब,ಲಿಸ್ಕ್ಯಾಬ್"
"drugs,Neuronex,न्यूरोनेक्स,ನ್ಯೂರೋನೆಕ್ಸ್"
"drugs,Scabzen,स्कैबज़ेन,ಸ್ಕ್ಯಾಬ್ಜೆನ್"
"drugs,Ceftaxon,सेफ्टैक्सोन,ಸೆಫ್ಟಾಕ್ಸೋನ್"
"drugs,Unicold-S,युनिकोल्ड-एस,ಯುನಿಕೋಲ್ಡ್-ಎಸ್"
"drugs,Jetnim-P,जेटनिम-पी,ಜೆಟ್‍ನಿಮ್-ಪಿ"
"drugs,Azeo,एज़ियो,ಅಜಿಯೋ"
"drugs,Madrox,मैड्रॉक्स,ಮ್ಯಾಡ್ರಾಕ್ಸ್"
"drugs,Starpress-MN,स्टारप्रेस-एमएन,ಸ್ಟಾರ್ಪ್ರೆಸ್-ಎಂಎನ್"
"drugs,Vombay,वोम्बे,ವೊಂಬೆ"
"drugs,Ocucel,ओकुसेल,ಒಕುಸೆಲ್"
"drugs,Mindcure-LT,माइंडक्योर-एलटी,ಮೈಂಡ್ಕ್ಯೂರ್-ಎಲ್‍ಟಿ"
"drugs,Kocef,कोसेफ,ಕೋಸೆಫ್"
"drugs,Letzol,लेटज़ोल,ಲೆಟ್ಜೋಲ್"
"drugs,Kilbact,किलबैक्ट,ಕಿಲ್ಬ್ಯಾಕ್ಟ್"
"drugs,Ofel,ओफेल,ಒಫೆಲ್"
"drugs,Clavactum,क्लावैक्टम,ಕ್ಲಾವ್ಯಾಕ್ಟಂ"
"drugs,Jyomox,ज्योमॉक्स,ಜ್ಯೋಮಾಕ್ಸ್"
"drugs,Vildan,विल्डान,ವಿಲ್ಡಾನ್"
"drugs,Dolo,डोलो,ಡೊಲೊ"
"drugs,Crocin,क्रोसिन,ಕ್ರೋಸಿನ್"
"drugs,Combiflam,कॉम्बिफ्लेम,ಕಾಂಬಿಫ್ಲಾಮ್"
"drugs,Azithral,एज़िथ्रल,ಅಜಿಥ್ರಲ್"
"drugs,Augmentin,ऑगमेंटिन,ಆಗ್ಮೆಂಟಿನ್"
"drugs,Pan-D,पैन-डी,ಪ್ಯಾನ್-ಡಿ"
"drugs,Shelcal,शेलकाल,ಶೆಲ್ಕಾಲ್"
"drugs,Allegra,एलेग्रा,ಅಲೆಗ್ರಾ"
"drugs,Montair,मॉन्टेयर,ಮಾಂಟೇರ್"
"symptoms,fever,बुखार,ಜ್ವರ"
"symptoms,cough,खांसी,ಕೆಮ್ಮು"
"symptoms,cold,सर्दी,ಶೀತ"
"symptoms,sore throat,गले में दर्द,ಗಂಟಲು ನೋವು"
"symptoms,runny nose,नाक बहना,ಮೂಗು ಸೋರುವಿಕೆ"
"symptoms,breathlessness,सांस फूलना,ಉಸಿರಾಟದ ತೊಂದರೆ"
"symptoms,chest pain,सीने में दर्द,ಎದೆ ನೋವು"
"symptoms,headache,सिर दर्द,ತಲೆನೋವು"
"symptoms,dizziness,चक्कर,ತಲೆಸುತ್ತು"
"symptoms,vomiting,उल्टी,ವಾಂತಿ"
"symptoms,nausea,मतली,ವಾಕರಿಕೆ"
"symptoms,loose motion,दस्त,ಭೇದಿ"
"symptoms,constipation,कब्ज़,ಮಲಬದ್ಧತೆ"
"symptoms,abdominal pain,पेट दर्द,ಹೊಟ್ಟೆ ನೋವು"
"symptoms,acidity,जलन,ಎದೆ ಉರಿ"
"symptoms,loss of appetite,भूख न लगना,ಹಸಿವು ಇಲ್ಲ"
"symptoms,weakness,कमज़ोरी,ಸುಸ್ತು"
"symptoms,body ache,बदन दर्द,ಮೈ ಕೈ ನೋವು"
"symptoms,joint pain,जोड़ों का दर्द,ಕೀಲು ನೋವು"
"symptoms,back pain,कमर दर्द,ಬೆನ್ನು ನೋವು"
"symptoms,swelling,सूजन,ಊತ"
"symptoms,itching,खुजली,ತುರಿಕೆ"
"symptoms,rash,दाने,ದದ್ದು"
"symptoms,burning urination,पेशाब में जलन,ಮೂತ್ರ ಉರಿ"
"symptoms,fatigue,थकान,ಆಯಾಸ"
"symptoms,fits,दौरा,ಮೂರ್ಛೆ"
"anatomy,head,सिर,ತಲೆ"
"anatomy,eye,आँख,ಕಣ್ಣು"
"anatomy,ear,कान,ಕಿವಿ"
"anatomy,nose,नाक,ಮೂಗು"
"anatomy,throat,गला,ಗಂಟಲು"
"anatomy,neck,गर्दन,ಕುತ್ತಿಗೆ"
"anatomy,chest,सीना,ಎದೆ"
"anatomy,stomach,पेट,ಹೊಟ್ಟೆ"
"anatomy,heart,दिल,ಹೃದಯ"
"anatomy,back,कमर,ಬೆನ್ನು"
"anatomy,shoulder,कंधा,ಭುಜ"
"anatomy,hand,हाथ,ಕೈ"
"anatomy,arm,बाज़ू,ತೋಳು"
"anatomy,finger,उंगली,ಬೆರಳು"
"anatomy,leg,टाँग,ಕಾಲು"
"anatomy,knee,घुटना,ಮೊಣಕಾಲು"
"anatomy,foot,पैर,ಪಾದ"
"anatomy,ankle,टखना,ಕಣಕಾಲು"
"anatomy,tooth,दाँत,ಹಲ್ಲು"
"anatomy,tongue,जीभ,ನಾಲಿಗೆ"
"anatomy,gum,मसूड़ा,ವಸಡು"
"anatomy,skin,त्वचा,ಚರ್ಮ"
"anatomy,bone,हड्डी,ಮೂಳೆ"
"anatomy,muscle,मांसपेशी,ಸ್ನಾಯು"
"anatomy,hip,कूल्हा,ಸೊಂಟ"
"anatomy,intestine,आँत,ಕರುಳು"
"anatomy,liver,जिगर,"
"anatomy,kidney,गुर्दा,"
"anatomy,lung,फेफड़ा,"
"anatomy,spleen,,"
"anatomy,pancreas,,"
"anatomy,gallbladder,,"
"anatomy,bladder,,"
"conditions,diabetes,शुगर,ಮಧುಮೇಹ"
"conditions,high blood pressure,बीपी,"
"conditions,asthma,दमा,ದಮ್ಮು"
"conditions,tuberculosis,टीबी,ಕ್ಷಯ"
"conditions,jaundice,पीलिया,ಕಾಮಾಲೆ"
"conditions,typhoid,टाइफाइड,"
"conditions,dengue,,"
"conditions,malaria,,"
"conditions,piles,बवासीर,ಮೂಲವ್ಯಾಧಿ"
"conditions,thyroid,थाइरोइड,ಥೈರಾಯ್ಡ್"
"conditions,anemia,खून की कमी,ರಕ್ತಹೀನತೆ"
"conditions,arthritis,गठिया,ಸಂಧಿವಾತ"
"conditions,kidney stone,पथरी,ಕಲ್ಲು"
"conditions,urinary infection,,"
"conditions,heart attack,दिल का दौरा,ಹೃದಯಾಘಾತ"
"conditions,paralysis,लकवा,ಪಾರ್ಶ್ವವಾಯು"
"conditions,allergy,एलर्जी,"
"conditions,ringworm,दाद,"
"conditions,migraine,,"
"procedures,blood test,खून की जाँच,ರಕ್ತ ಪರೀಕ್ಷೆ"
"procedures,urine test,पेशाब की जाँच,ಮೂತ್ರ ಪರೀಕ್ಷೆ"
"procedures,blood sugar test,शुगर टेस्ट,"
"procedures,x-ray,,"
"procedures,ultrasound,,"
"procedures,scan,,"
"procedures,ecg,,"
"procedures,biopsy,,"
"procedures,endoscopy,,"
"procedures,injection,सूई,ಚುಚ್ಚುಮದ್ದು"
"procedures,dressing,पट्टी,"
"procedures,surgery,ऑपरेशन,ಶಸ್ತ್ರಚಿಕಿತ್ಸೆ"
"procedures,stitches,टांके,ಹೊಲಿಗೆ"
"procedures,vaccination,टीका,ಲಸಿಕೆ"
"procedures,nebulization,,"
"therapy,physiotherapy,फिजियोथेरेपी,ಭೌತಚಿಕಿತ್ಸೆಯ"
"therapy,exercise,अभ्यास,ವ್ಯಾಯಾಮ"
"therapy,massage,मालिश,"
"therapy,hot compress,सिकाई,"
"therapy,rest,आराम,ವಿಶ್ರಾಂತಿ"
"therapy,inhaler,पंप,"
"therapy,walker,,"
"therapy,stretching,,"
"ayurveda,Ashwagandha,अश्वगंधा,ಅಶ್ವಗಂಧ"
"ayurveda,Triphala,त्रिफला,ತ್ರಿಫಲ"
"ayurveda,Guduchi,गिलोय,ಅಮೃತಬಳ್ಳಿ"
"ayurveda,Brahmi,ब्राह्मी,"
"ayurveda,Shatavari,शतावरी,"
"ayurveda,Chyawanprash,च्यवनप्राश,"
"ayurveda,Yashtimadhu,मुलेठी,ಜೇಷ್ಠಮಧು"
"ayurveda,Haritaki,हरड़,ಅಣಿಲೆ"
"ayurveda,Amalaki,आंवला,ನೆಲ್ಲಿಕಾಯಿ"
"ayurveda,Neem,नीम,ಬೇವು"
"ayurveda,Tulsi,तुलसी,ತುಳಸಿ"
"ayurveda,Trikatu,त्रिकटु,"
"ayurveda,Sitopaladi,सितोपलादि,"
"ayurveda,Guggulu,गुग्गुल,"
"ayurveda,Gokshura,गोक्षुर,"
"ayurveda,Kadha,काढ़ा,ಕಷಾಯ"
"ayurveda,Churna,चूर्ण,"
"ayurveda,Bhasma,भस्म,"
